Physical Record ID,BL record ID,ARK
003999563,014832712,ark:/81055/vdc_000000031404
003546300,014617105,ark:/81055/vdc_00000002FBB0
003534584,014830382,ark:/81055/vdc_00000003E634
003512120,014830248,ark:/81055/vdc_000000040752
003501966,014617097,ark:/81055/vdc_00000002FBAA
003394096,014829611,ark:/81055/vdc_0000000589C8
003317825,014829144,ark:/81055/vdc_000000049872
003316913,014823997,ark:/81055/vdc_00000002C904
003309874,014823985,ark:/81055/vdc_00000005A978
003245609,014828913,ark:/81055/vdc_000000035520
003119790,014828397,ark:/81055/vdc_00000003BFC4
003119791,014828398,ark:/81055/vdc_00000003FA14
002909832,014827379,ark:/81055/vdc_0000000416B8
002907499,014616981,ark:/81055/vdc_00000003082E
002873528,014827264,ark:/81055/vdc_00000004025A
002779859,014826977,ark:/81055/vdc_00000004186E
002713625,014826700,ark:/81055/vdc_000000054E64
002622259,014826301,ark:/81055/vdc_00000003886E
002530271,014825794,ark:/81055/vdc_000000042498
002498888,014819199,ark:/81055/vdc_000000030918
002384752,014872300,ark:/81055/vdc_00000001119C
002329382,014818113,ark:/81055/vdc_000000030804
003998638,014608805,ark:/81055/vdc_00000002C6D6
003998544,014832689,ark:/81055/vdc_000000039696
002313732,014817920,ark:/81055/vdc_00000003B13C
002307954,014872265,ark:/81055/vdc_000000014EA4
002270424,014817510,ark:/81055/vdc_000000038A78
002270459,014817515,ark:/81055/vdc_000000038928
002270479,014817517,ark:/81055/vdc_00000003954C
002270489,014817518,ark:/81055/vdc_0000000392FA
002209842,015173106,ark:/81055/vdc_0000000251CA
002159584,014840585,ark:/81055/vdc_000000002D66
009296109,014820494,ark:/81055/vdc_000000059B62
001482506,014811965,ark:/81055/vdc_000000030F12
003998432,014824951,ark:/81055/vdc_00000004CCA4
001424218,014811687,ark:/81055/vdc_00000002D80A
000742233,014816501,ark:/81055/vdc_00000002B746
000668930,014807148,ark:/81055/vdc_000000040BEA
000651510,014807053,ark:/81055/vdc_00000005280C
003998325,014832684,ark:/81055/vdc_00000004CE24
003998324,014824946,ark:/81055/vdc_00000003D752
000609992,014806907,ark:/81055/vdc_00000003FB2E
003998451,014824952,ark:/81055/vdc_00000004CC9E
000584350,014806735,ark:/81055/vdc_00000005B88A
003998483,014824956,ark:/81055/vdc_00000004D4AE
000582286,014806726,ark:/81055/vdc_00000002CB9E
001483393,014811974,ark:/81055/vdc_000000051AE6
000563970,014806626,ark:/81055/vdc_00000005C57A
003998225,014891844,ark:/81055/vdc_000000019F32
003998227,014880493,ark:/81055/vdc_0000000175F8
003998249,014891845,ark:/81055/vdc_000000018F78
000511162,014806221,ark:/81055/vdc_000000041EE0
000473274,014805960,ark:/81055/vdc_00000005B902
003997941,014756423,ark:/81055/vdc_000000052F7A
003997940,014756422,ark:/81055/vdc_000000052F68
003997942,014774239,ark:/81055/vdc_000000052F80
003997943,014756424,ark:/81055/vdc_000000052F92
003997930,015106343,ark:/81055/vdc_0000000239B2
000375021,014805494,ark:/81055/vdc_00000003F85E
003997324,014832678,ark:/81055/vdc_000000055386
003997255,015178555,ark:/81055/vdc_000000025F86
003997257,014848299,ark:/81055/vdc_000000007F86
000359486,014805317,ark:/81055/vdc_00000003B7A8
000346239,014616560,ark:/81055/vdc_00000002FBE0
000229807,014804816,ark:/81055/vdc_00000002FBC2
000227318,014804812,ark:/81055/vdc_000000056BDA
000226718,014804808,ark:/81055/vdc_00000002FB3E
003996734,015115883,ark:/81055/vdc_0000000246C0
000181253,014912192,ark:/81055/vdc_00000001F1D6
000115730,014774003,ark:/81055/vdc_00000002FF5E
000069339,014803935,ark:/81055/vdc_00000005C53E
001844599,014814366,ark:/81055/vdc_000000040254
002795380,014827071,ark:/81055/vdc_00000005BA4C
003996692,014861165,ark:/81055/vdc_00000000AC8C
003996599,014603283,ark:/81055/vdc_000000010050
003996598,014832667,ark:/81055/vdc_000000028CE0
003996602,014832668,ark:/81055/vdc_00000002B710
003996603,014602826,ark:/81055/vdc_000000027E58
003996604,014832669,ark:/81055/vdc_00000002868C
003996605,014603344,ark:/81055/vdc_000000028CD4
003996606,014603284,ark:/81055/vdc_00000002882A
003996610,014603285,ark:/81055/vdc_000000028830
003996609,014832670,ark:/81055/vdc_000000028CDA
003996368,014880492,ark:/81055/vdc_00000001571A
000099628,014635260,ark:/81055/vdc_000000042E04
003996143,014873186,ark:/81055/vdc_0000000120C0
003996151,014867953,ark:/81055/vdc_00000000FBA0
004079262,014603046,ark:/81055/vdc_00000002842E
003996026,014824940,ark:/81055/vdc_000000051CDE
003995976,014824939,ark:/81055/vdc_000000001ACA
000103877,014804102,ark:/81055/vdc_0000000317BE
003995773,015106342,ark:/81055/vdc_000000023A36
003995655,014832658,ark:/81055/vdc_000000055104
003995654,014832657,ark:/81055/vdc_000000053568
003995603,014824934,ark:/81055/vdc_00000004B17A
003995607,014824936,ark:/81055/vdc_0000000436C2
003995559,014824925,ark:/81055/vdc_00000003D5A2
003995567,014832653,ark:/81055/vdc_000000039804
003995568,014832654,ark:/81055/vdc_00000002D60C
003995565,014824926,ark:/81055/vdc_00000004A2FE
003995572,014824927,ark:/81055/vdc_000000043926
003995575,014824928,ark:/81055/vdc_00000003F768
003995580,014824929,ark:/81055/vdc_00000004C14C
003995585,014824931,ark:/81055/vdc_000000049410
003995586,014832655,ark:/81055/vdc_0000000392A0
003995590,014824932,ark:/81055/vdc_00000003DE48
003995595,014824933,ark:/81055/vdc_000000043938
003995597,014832656,ark:/81055/vdc_000000046B7E
003995584,014824930,ark:/81055/vdc_0000000418F8
003995609,014824938,ark:/81055/vdc_00000003FDFE
003995606,014824935,ark:/81055/vdc_0000000458DC
003995608,014824937,ark:/81055/vdc_000000040ABE
000181560,014866344,ark:/81055/vdc_0000000101FA
003995356,015106341,ark:/81055/vdc_00000002264A
003995175,014608623,ark:/81055/vdc_00000002BD22
003995181,014940072,ark:/81055/vdc_000000021810
003994412,014862512,ark:/81055/vdc_00000000BABA
001038267,014809740,ark:/81055/vdc_000000052548
003993652,014841657,ark:/81055/vdc_0000000056B2
003317787,014829140,ark:/81055/vdc_00000002F3D0
003993317,014873183,ark:/81055/vdc_000000011EFE
003993232,015178554,ark:/81055/vdc_000000026430
003993186,014832648,ark:/81055/vdc_00000005EB54
000500542,014806193,ark:/81055/vdc_0000000021B4
